match_id,set,duration,winner,loser,homography_matrix
38,3,76,11,5,"[[2.502998081396016, 1.3095992853623921, -1416.6261143047657], [-0.08736816205691995, 15.0486015732943, -5273.980881335213], [-6.498970866195847e-05, 0.007499033439923788, 1.0]]"
39,2,49,19,6,"[[2.005016077454762, 1.0530949531000233, -1116.478299797126], [-0.018650904564660654, 9.179436145877869, -2114.7339076202443], [-8.75177895360411e-06, 0.005742160533106755, 1.0]]"
40,3,59,28,7,"[[2.015446566132297, 1.3078492880309887, -1081.4939271511416], [-0.09860188774793335, 11.432368686402256, -2608.163051050501], [-0.00010726609789448855, 0.007700418369676245, 1.0]]"
41,2,52,27,29,"[[2.058535059415759, 1.3423413381896103, -1108.8404294000152], [-0.0794173590712203, 11.686090971380343, -2685.086262573219], [-9.214018150094286e-05, 0.007875890436965512, 1.0]]"
42,3,70,5,30,"[[1.1278799636985777, 0.4539697019464414, -537.6330972817226], [-0.01323929058172821, 6.1119185876528395, -1823.0019981884186], [-2.7332720099561718e-05, 0.0026190438999838944, 1.0]]"
43,3,93,30,31,"[[1.1162838870886547, 0.4512592924883444, -535.7490025039998], [-0.0228615131822701, 6.053607942904232, -1805.2424636507933], [-3.2286533123497085e-05, 0.002593697710098583, 1.0]]"
44,3,67,32,5,"[[1.7717371090988803, 0.8511285646852748, -964.6558428875122], [-0.0337325842593428, 7.608125034405032, -1635.6640034679085], [-5.349223303708538e-05, 0.004812136439890747, 1.0]]"
45,3,51,5,33,"[[0.7225166626659919, 0.22917305367741891, -282.8882675934239], [-0.00090059042258145, 3.148505303030927, -604.9016992592883], [8.149656276657582e-06, 0.0012957922813282697, 1.0]]"
46,2,40,5,12,"[[1.8177475180823501, 0.8751628398977066, -993.2040496072611], [-0.028585832493295785, 7.808195651124831, -1697.3512005507487], [-3.936850512837629e-05, 0.004930010452485091, 1.0]]"
47,3,67,15,16,"[[1.7610911819951016, 0.8470749276470257, -959.0000905010281], [-0.04582660126281603, 7.578498629535338, -1626.8255328281095], [-6.183308143540944e-05, 0.0047850408011351165, 1.0]]"
48,3,59,16,20,"[[1.818183106691472, 0.8779309366122995, -993.8988908887047], [-0.02028883843804634, 7.8100126022075695, -1699.7348584623494], [-3.4547582230136905e-05, 0.00493305495448094, 1.0]]"
49,3,76,15,3,"[[2.749028763805865, 1.4005159909436278, -1605.4207823809245], [0.050138976893706444, 10.78670942167197, -2129.6447642901107], [4.707810258220123e-05, 0.007788276964656058, 1.0]]"
50,2,43,10,34,"[[2.654513138424582, 1.3541592841450052, -1551.2338203007803], [0.017557032550436554, 10.472879270269337, -2047.8966580120837], [-2.299430980281234e-06, 0.0075591296830984905, 1.0]]"
51,2,45,10,31,"[[2.6464159173542465, 1.346445431054304, -1528.160385274654], [-0.012346824392822791, 10.448595276269657, -2057.5227122707333], [-4.251439980491897e-05, 0.007531938739143504, 1.0]]"
52,3,77,32,31,"[[1.7919612376964404, 0.8601757102280404, -976.831972269966], [-0.024251655556263685, 7.6893189864785105, -1665.6798254830412], [-3.797096032294923e-05, 0.00484735448468499, 1.0]]"
53,2,52,2,8,"[[2.0054546246761134, 1.0522918342633663, -1116.092490405858], [-0.012713027789638568, 9.180998750303846, -2121.60051274594], [1.9098037533232425e-06, 0.005713865158664253, 1.0]]"
54,2,47,3,14,"[[2.728559154790343, 1.3873333578528748, -1576.4581680706688], [0.03274926231011658, 10.745722884721154, -2136.3292521811154], [1.4062558949991172e-05, 0.007743795332140536, 1.0]]"
55,2,75,10,24,"[[1.685702299029616, 0.6966888326048883, -897.7602194703412], [0.0012278268405882908, 6.976485271321307, -1665.668890614626], [-1.4336483538529749e-05, 0.00398411536270343, 1.0]]"
56,2,46,34,1,"[[1.1280560671906983, 0.46240028226451285, -545.9480284316385], [0.022441706087868826, 3.861660752610907, -334.4588932748882], [3.58024780587449e-05, 0.002552725789856504, 1.0]]"
57,2,43,16,7,"[[1.1264445365903164, 0.45252728075785226, -540.5163466061629], [-0.016975372556019396, 6.0909070535329874, -1821.6201502818283], [-2.2325609700005154e-05, 0.002603581785933404, 1.0]]"
58,3,66,4,34,"[[1.2127348915472842, 0.4724871702826476, -591.308280335244], [-0.02487296478672235, 5.6941586133894075, -1442.9978959427135], [-2.5826753017045172e-05, 0.002791443230716878, 1.0]]"
